Solver,N,Iterations,Time_s,L2_Error,Linf_Error
Jacobi,15,357,1.517000e-03,1.116744e-03,2.233624e-03
Jacobi,23,805,5.610000e-03,2.182637e-04,4.366636e-04
Jacobi,31,1432,6.521000e-03,9.641110e-05,1.928806e-04
Jacobi,47,3224,1.462600e-02,3.203860e-04,6.410480e-04
Jacobi,63,5736,2.382700e-02,3.969868e-04,7.938147e-04
Jacobi,95,12916,5.943200e-02,4.496334e-04,8.983016e-04
Jacobi,127,23105,1.687750e-01,4.498175e-04,8.996725e-04
RB GS,15,188,1.380000e-03,1.265189e-03,2.537131e-03
RB GS,23,423,1.801000e-03,3.641342e-04,7.313490e-04
RB GS,31,752,4.727000e-03,4.903876e-05,9.965897e-05
RB GS,47,1693,1.040200e-02,1.743761e-04,3.490861e-04
RB GS,63,3011,1.879000e-02,2.522178e-04,5.040233e-04
RB GS,95,6773,5.343400e-02,3.079300e-04,6.151955e-04
RB GS,127,12054,1.326480e-01,3.263396e-04,6.529102e-04
RB SOR,15,30,1.300000e-04,1.563204e-03,3.134727e-03
RB SOR,23,47,2.210000e-04,6.852472e-04,1.373887e-03
RB SOR,31,64,3.850000e-04,3.785717e-04,7.593632e-04
RB SOR,47,99,6.850000e-04,1.623267e-04,3.254414e-04
RB SOR,63,135,9.570000e-04,8.784789e-05,1.770258e-04
RB SOR,95,211,3.465000e-03,3.838383e-05,7.855892e-05
RB SOR,127,298,3.325000e-03,2.141855e-05,4.309506e-05
MG V-cycle,15,5,1.870000e-04,1.591542e-03,3.202796e-03
MG V-cycle,23,5,5.710000e-04,6.755178e-04,1.385450e-03
MG V-cycle,31,6,3.320000e-04,3.983908e-04,8.007288e-04
MG V-cycle,47,6,1.173000e-03,1.720535e-04,3.504753e-04
MG V-cycle,63,6,5.740000e-04,9.748656e-05,1.994371e-04
MG V-cycle,95,7,9.670000e-04,4.398376e-05,8.869171e-05
MG V-cycle,127,7,1.010000e-03,2.536634e-05,5.161115e-05
MG W-cycle,15,4,1.860000e-04,1.602429e-03,3.221273e-03
MG W-cycle,23,4,4.650000e-04,7.128542e-04,1.429081e-03
MG W-cycle,31,4,7.210000e-04,4.012196e-04,8.035898e-04
MG W-cycle,47,4,1.130000e-03,1.781932e-04,3.564358e-04
MG W-cycle,63,4,1.444000e-03,1.001377e-04,2.003908e-04
MG W-cycle,95,4,2.604000e-03,4.421886e-05,8.833408e-05
MG W-cycle,127,4,2.489000e-03,2.488040e-05,4.953049e-05
