Solver,N,Iterations,Time_s,L2_Error,Linf_Error
Jacobi,15,462,1.255000e-03,2.180674e-04,4.521242e-04
Jacobi,23,1040,7.290000e-03,2.708782e-04,5.491605e-04
Jacobi,31,1849,9.863000e-03,2.876030e-04,5.803934e-04
Jacobi,47,4180,1.586700e-02,2.862662e-04,5.730024e-04
Jacobi,63,7531,3.136600e-02,2.615490e-04,5.265955e-04
Jacobi,95,18503,8.830300e-02,1.118528e-04,2.144209e-04
Jacobi,127,50000,3.710440e-01,1.212001e-04,2.070828e-04
RB GS,15,240,1.084000e-03,1.339153e-04,2.850242e-04
RB GS,23,541,2.670000e-03,1.800150e-04,3.671859e-04
RB GS,31,961,4.299000e-03,1.970457e-04,3.989248e-04
RB GS,47,2163,1.095600e-02,2.069639e-04,4.155515e-04
RB GS,63,3875,1.920700e-02,2.010225e-04,4.069094e-04
RB GS,95,9317,6.009300e-02,1.054501e-04,2.008006e-04
RB GS,127,50000,5.412900e-01,1.212001e-04,2.070828e-04
RB SOR,15,36,1.530000e-04,5.464697e-05,1.005106e-04
RB SOR,23,55,2.720000e-04,1.494241e-05,3.147844e-05
RB SOR,31,75,3.110000e-04,6.609729e-06,1.877116e-05
RB SOR,47,121,5.450000e-04,5.768387e-06,1.476063e-05
RB SOR,63,50000,3.277490e-01,3.974895e-06,1.068008e-05
RB SOR,95,50000,3.680990e-01,1.532218e-05,3.648498e-05
RB SOR,127,50000,4.713830e-01,1.435946e-05,3.394727e-05
MG V-cycle,15,6,1.910000e-04,6.235656e-05,1.256823e-04
MG V-cycle,23,7,3.520000e-04,2.844898e-05,5.629439e-05
MG V-cycle,31,7,3.730000e-04,1.509938e-05,3.103011e-05
MG V-cycle,47,8,5.740000e-04,8.799857e-06,1.774808e-05
MG V-cycle,63,8,6.140000e-04,6.524493e-06,1.448183e-05
MG V-cycle,95,9,9.700000e-04,2.536221e-06,7.370868e-06
MG V-cycle,127,100,1.206600e-02,4.516372e-06,1.094435e-05
MG W-cycle,15,5,3.380000e-04,7.080494e-05,1.409411e-04
MG W-cycle,23,5,7.070000e-04,3.337467e-05,6.273169e-05
MG W-cycle,31,6,1.457000e-03,2.030751e-05,3.758422e-05
MG W-cycle,47,6,1.758000e-03,8.016179e-06,1.572134e-05
MG W-cycle,63,6,2.006000e-03,4.790220e-06,1.290036e-05
MG W-cycle,95,7,3.909000e-03,2.776644e-06,8.801380e-06
MG W-cycle,127,100,5.935800e-02,1.797545e-06,7.241685e-06
