Solver,N,Iterations,Time_s,L2_Error,Linf_Error
Jacobi,15,102,3.013800e-02,1.902187e-04,3.838359e-04
Jacobi,23,232,2.151000e-03,3.405455e-05,9.199372e-05
Jacobi,31,414,5.356000e-03,4.768578e-05,1.079896e-04
Jacobi,47,932,9.514000e-03,8.783710e-05,1.807773e-04
Jacobi,63,1658,1.654300e-02,1.025140e-04,2.078414e-04
Jacobi,95,3733,3.973800e-02,1.126916e-04,2.267957e-04
Jacobi,127,6652,1.002780e-01,1.142096e-04,2.291501e-04
RB GS,15,54,6.330000e-04,2.267143e-04,4.548846e-04
RB GS,23,122,1.338000e-03,5.994469e-05,1.336336e-04
RB GS,31,216,1.757570e-01,2.072481e-05,4.674159e-05
RB GS,47,487,5.816000e-03,5.218946e-05,1.101275e-04
RB GS,63,865,1.467700e-02,6.744072e-05,1.381677e-04
RB GS,95,1946,1.062010e-01,7.795278e-05,1.574799e-04
RB GS,127,3460,7.700100e-02,8.150283e-05,1.637794e-04
RB SOR,15,26,3.550000e-04,2.946890e-04,5.716501e-04
RB SOR,23,40,4.670000e-04,1.268224e-04,2.463844e-04
RB SOR,31,56,1.666700e-02,6.789953e-05,1.362382e-04
RB SOR,47,88,1.114000e-03,3.040639e-05,6.204844e-05
RB SOR,63,123,1.453000e-03,1.855567e-05,3.800167e-05
RB SOR,95,193,2.303000e-03,9.183302e-06,1.835823e-05
RB SOR,127,277,4.407000e-03,5.073622e-06,1.071082e-05
MG V-cycle,15,4,2.460000e-04,2.589218e-04,4.976808e-04
MG V-cycle,23,5,4.520000e-04,1.221655e-04,2.419643e-04
MG V-cycle,31,5,5.860000e-04,6.190001e-05,1.265266e-04
MG V-cycle,47,6,8.080000e-04,3.062541e-05,6.142185e-05
MG V-cycle,63,6,7.660000e-04,1.601364e-05,3.272085e-05
MG V-cycle,95,7,1.293000e-03,8.129050e-06,1.658975e-05
MG V-cycle,127,7,1.455000e-03,4.652453e-06,9.641887e-06
MG W-cycle,15,4,4.800000e-04,2.736778e-04,5.250989e-04
MG W-cycle,23,5,1.075000e-03,1.306864e-04,2.551369e-04
MG W-cycle,31,5,1.062000e-03,7.355736e-05,1.441656e-04
MG W-cycle,47,5,2.289000e-03,3.277469e-05,6.447421e-05
MG W-cycle,63,5,2.500000e-03,1.849976e-05,3.645623e-05
MG W-cycle,95,5,7.427000e-03,8.274352e-06,1.647054e-05
MG W-cycle,127,6,8.873000e-03,4.503917e-06,9.459126e-06
