Solver,N,Iterations,Time_s,L2_Error,Linf_Error
RB SOR,15,26,1.050000e-04,2.946890e-04,5.716501e-04
RB SOR,31,56,2.620000e-04,6.789953e-05,1.362382e-04
RB SOR,63,123,1.063000e-03,1.855567e-05,3.800167e-05
RB SOR,127,277,1.488200e-02,5.073622e-06,1.071082e-05
RB SOR,255,50000,1.543983e+00,1.900025e-06,5.283899e-06
RB SOR,511,50000,5.753150e+00,9.869293e-07,4.060221e-06
"MG(v, nu=3, w=1.25)",15,2,9.000000e-05,2.681237e-04,5.276023e-04
"MG(v, nu=3, w=1.25)",31,3,2.060000e-04,7.146668e-05,1.403138e-04
"MG(v, nu=3, w=1.25)",63,4,3.500000e-04,1.851882e-05,3.621782e-05
"MG(v, nu=3, w=1.25)",127,4,8.410000e-04,4.682922e-06,9.639313e-06
"MG(v, nu=3, w=1.25)",255,5,1.552000e-03,1.564528e-06,4.690041e-06
"MG(v, nu=3, w=1.25)",511,100,6.484900e-02,1.167964e-06,4.837860e-06
"MG(v, nu=3, w=auto)",15,5,2.550000e-04,2.951879e-04,5.679546e-04
"MG(v, nu=3, w=auto)",31,10,7.010000e-04,6.603144e-05,1.281955e-04
"MG(v, nu=3, w=auto)",63,21,1.876000e-03,2.455147e-05,5.219566e-05
"MG(v, nu=3, w=auto)",127,48,6.900000e-03,3.569524e-06,9.023227e-06
"MG(v, nu=3, w=auto)",255,100,2.548700e-02,2.459739e-06,1.065882e-05
"MG(v, nu=3, w=auto)",511,100,5.992500e-02,3.632141e-04,1.264842e-03
"MG(w, nu=3, w=1.25)",15,2,1.300000e-04,2.681647e-04,5.275427e-04
"MG(w, nu=3, w=1.25)",31,3,4.510000e-04,7.305808e-05,1.426159e-04
"MG(w, nu=3, w=1.25)",63,3,1.074000e-03,1.825512e-05,3.627742e-05
"MG(w, nu=3, w=1.25)",127,4,2.925000e-03,4.540117e-06,9.534556e-06
"MG(w, nu=3, w=1.25)",255,4,6.821000e-03,9.291978e-07,2.268555e-06
"MG(w, nu=3, w=1.25)",511,100,3.178330e-01,1.217756e-06,4.589082e-06
"MG(w, nu=3, w=auto)",15,5,3.500000e-04,2.952408e-04,5.683123e-04
"MG(w, nu=3, w=auto)",31,10,1.877000e-03,7.238585e-05,1.403138e-04
"MG(w, nu=3, w=auto)",63,20,7.091000e-03,1.855932e-05,3.868913e-05
"MG(w, nu=3, w=auto)",127,44,3.084200e-02,4.795895e-06,1.067683e-05
"MG(w, nu=3, w=auto)",255,100,1.543410e-01,1.630137e-06,5.002719e-06
"MG(w, nu=3, w=auto)",511,100,3.525830e-01,1.541114e-05,7.707398e-05
